# Training metrics
# generated_at,2025-09-29T11:00:36.730475Z
epoch,train_loss,val_loss,val_accuracy,precision,recall,f1_score
1,1.016886,1.103607,0.610947,0.602706,0.599445,0.601071
2,0.932847,1.020221,0.597370,0.591089,0.591896,0.591492
3,0.853333,0.934795,0.629144,0.622840,0.617132,0.619973
4,0.783799,0.870259,0.636298,0.635536,0.631914,0.633719
5,0.725338,0.791170,0.643359,0.639190,0.638328,0.638759
6,0.671138,0.731660,0.651871,0.651122,0.646932,0.649021
7,0.608831,0.694486,0.635161,0.631290,0.625881,0.628574
8,0.568388,0.619091,0.647631,0.646286,0.641428,0.643848
9,0.519984,0.583249,0.658441,0.657511,0.648690,0.653071
10,0.467570,0.528548,0.679094,0.677028,0.673414,0.675216
11,0.420045,0.505743,0.679507,0.671929,0.670058,0.670992
12,0.386049,0.464242,0.689742,0.687178,0.683687,0.685428
13,0.368015,0.435229,0.688181,0.680225,0.677990,0.679106
14,0.345354,0.398692,0.696352,0.694940,0.682791,0.688812
15,0.306932,0.349367,0.700809,0.692824,0.686837,0.689817
16,0.285523,0.341721,0.711842,0.705026,0.705910,0.705468
17,0.255086,0.303640,0.720168,0.713950,0.712325,0.713136
18,0.240611,0.281863,0.723329,0.717786,0.713289,0.715530
19,0.217009,0.250497,0.737674,0.731134,0.729639,0.730386
20,0.193171,0.251352,0.742964,0.737118,0.734761,0.735938
21,0.179726,0.218575,0.751429,0.745395,0.744029,0.744712
22,0.175502,0.209517,0.770207,0.764047,0.759752,0.761894
23,0.151554,0.181232,0.772853,0.770546,0.762119,0.766310
24,0.146096,0.172951,0.771273,0.764652,0.759662,0.762149
25,0.136561,0.162596,0.786382,0.783020,0.777152,0.780075
26,0.118204,0.156743,0.796051,0.792953,0.787491,0.790212
27,0.110270,0.134126,0.797785,0.792299,0.787847,0.790067
28,0.102917,0.124196,0.814346,0.810736,0.804655,0.807684
29,0.093939,0.120904,0.816670,0.813028,0.805966,0.809481
30,0.089126,0.108947,0.821241,0.817892,0.813489,0.815685
31,0.079735,0.102423,0.835964,0.832250,0.826431,0.829330
32,0.074764,0.086536,0.840556,0.836655,0.830802,0.833718
33,0.068721,0.087708,0.845580,0.842235,0.833664,0.837928
34,0.057556,0.077528,0.852800,0.846391,0.844252,0.845320
35,0.052769,0.068548,0.865687,0.859222,0.855349,0.857281
36,0.048309,0.064725,0.870942,0.866396,0.861224,0.863802
37,0.050363,0.065572,0.875279,0.870867,0.863915,0.867377
38,0.045931,0.052933,0.886554,0.881048,0.875894,0.878463
39,0.037221,0.055147,0.896355,0.890734,0.886385,0.888554
40,0.034747,0.046135,0.900950,0.896349,0.891573,0.893954
41,0.031804,0.041834,0.907990,0.903838,0.898654,0.901239
42,0.029829,0.040973,0.916188,0.911520,0.906969,0.909239
43,0.029526,0.036444,0.924289,0.919700,0.914234,0.916959
44,0.026371,0.033395,0.934072,0.929018,0.923338,0.926169
45,0.024584,0.031108,0.941513,0.936487,0.931596,0.934035
46,0.022758,0.030334,0.947989,0.943060,0.937781,0.940413
47,0.019820,0.026966,0.957311,0.952210,0.947403,0.949800
48,0.018142,0.025781,0.963913,0.958831,0.953825,0.956322
49,0.017347,0.023706,0.972498,0.967575,0.962405,0.964983
50,0.015691,0.021979,0.980000,0.975000,0.970000,0.972494
